timestamp,motor_id,component_id,vibration_mm_s,temperature_c,current_a,visual_damage_score,insulation_risk,alignment_error_mm
2026-06-22T09:00:00Z,DXB-HVAC-MOTOR-001,housing,1.2,42.0,12.1,0.12,0.08,0.03
2026-06-22T09:00:01Z,DXB-HVAC-MOTOR-001,front_cover,1.5,43.1,12.2,0.18,0.10,0.04
2026-06-22T09:00:02Z,DXB-HVAC-MOTOR-001,rear_cover,1.6,43.4,12.2,0.20,0.11,0.05
2026-06-22T09:00:03Z,DXB-HVAC-MOTOR-001,rotor,3.2,61.2,14.8,0.22,0.18,0.13
2026-06-22T09:00:04Z,DXB-HVAC-MOTOR-001,stator,4.4,78.8,16.5,0.34,0.57,0.16
2026-06-22T09:00:05Z,DXB-HVAC-MOTOR-001,shaft,3.8,56.3,13.6,0.26,0.22,0.31
2026-06-22T09:00:06Z,DXB-HVAC-MOTOR-001,bearing_front,8.7,91.4,15.8,0.70,0.32,0.42
2026-06-22T09:00:07Z,DXB-HVAC-MOTOR-001,bearing_rear,9.2,94.1,15.9,0.73,0.35,0.45
2026-06-22T09:00:08Z,DXB-HVAC-MOTOR-001,fan,6.1,68.0,13.4,0.92,0.20,0.26
2026-06-22T09:00:09Z,DXB-HVAC-MOTOR-001,terminal_box,1.7,49.5,12.4,0.24,0.21,0.05
2026-06-22T09:00:10Z,DXB-HVAC-MOTOR-001,bolts,2.9,45.0,12.1,0.81,0.16,0.07

